*ELEMENT, TYPE=C3D4
2880, 636, 636, 4456, 4487, 4486
4364, 637, 637, 6140, 6042, 6352
6168, 638, 638, 5290, 5291, 5341
5428, 639, 639, 5022, 4894, 5097
5117, 640, 640, 3147, 2721, 3116
2905, 641, 641, 5408, 5378, 5530
5373, 642, 642, 5079, 5074, 5204
5355, 643, 643, 5341, 5476, 5561
5428, 644, 644, 5560, 5833, 5604
5697, 645, 645, 4678, 4843, 4561
4606, 646, 646, 5834, 5997, 5650
5640, 647, 647, 4762, 4761, 4861
4632, 648, 648, 4764, 4728, 4803
4634, 649, 649, 5072, 4928, 4812
4755, 650, 650, 4756, 4755, 4812
4626, 651, 651, 5459, 5604, 5355
5560, 652, 652, 4223, 4404, 4224
4099, 653, 653, 4893, 5021, 5097
5200, 654, 654, 5365, 5079, 5204
5355, 655, 655, 3419, 3819, 3691
3614, 656, 656, 4438, 4391, 4677
4491, 657, 657, 5566, 5644, 5628
5702, 658, 658, 5295, 5259, 5606
5491, 659, 659, 4760, 4490, 4725
4631, 660, 660, 4761, 4760, 4868
4631, 661, 661, 4725, 4759, 4933
4716, 662, 662, 4725, 4631, 4677
4868, 663, 663, 4499, 4769, 4548
4638, 664, 664, 4631, 4725, 4760
4868, 665, 665, 5166, 5295, 5117
5259, 666, 666, 2518, 2665, 2444
2588, 667, 667, 4180, 4048, 3907
4074, 668, 668, 3427, 3145, 3291
3357, 669, 669, 4492, 4226, 4597
4370, 670, 670, 3961, 3923, 4098
4070, 671, 671, 5763, 5751, 5839
5567, 672, 672, 6919, 6962, 7061
6769, 673, 673, 6874, 7084, 6836
